ARDMS SYSTEM BACKUP REPORT - DATE: 2026-06-28
Device Hostname: , DESKTOP-KBHB0SB
Device Info: , DESKTOP-KBHB0SB (User: Alienware, OS: Windows_NT x64)
Generated At: , 2/7/2026, 4:15:05 pm

SECTION 1: RESCUE REQUESTS & TASKS
Request ID,Type,Urgency,Status,Latitude,Longitude,Details/Location,Assigned Responder,Created At,Updated At,Device Node
135,pregnancy,critical,completed,14.4551259,79.9946208,"Critical Emergency Triggered
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]",Arjun Singh (MEM-01),2026-06-28 05:16:39,2026-06-28 05:17:22,DESKTOP-KBHB0SB
136,supplies,normal,completed,14.4551259,79.9946208,"{""transportMode"":""BOAT"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 1]
[Ignored by Rescuer ID: 3]
[AI_ROTATION_COMPLETED]
[Declined by Rescuer ID: 1]",Unassigned,2026-06-28 05:20:46,2026-06-28 05:23:31,DESKTOP-KBHB0SB
137,sos,normal,completed,14.4551259,79.9946208,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Unassigned,2026-06-28 05:22:10,2026-06-28 05:23:28,DESKTOP-KBHB0SB
138,sos,normal,completed,14.4553532,79.9942974,"{""transportMode"":""BOAT"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]
[Declined by Rescuer ID: 1]",Unassigned,2026-06-28 07:10:35,2026-06-28 07:18:14,DESKTOP-KBHB0SB
139,pregnancy,critical,completed,13.085,80.272,"Critical Emergency Triggered
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]
[Declined by Rescuer ID: 2]",Arjun Singh (MEM-01),2026-06-28 07:19:58,2026-06-28 07:49:13,DESKTOP-KBHB0SB
140,medical,critical,completed,14.4554741,79.9942801,"Critical Emergency Triggered
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Sarah Khan (MEM-02),2026-06-28 08:29:41,2026-06-28 08:30:17,DESKTOP-KBHB0SB
141,sos,normal,completed,14.4553542,79.9942935,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""2"",""address"":"""",""attachments"":{""voice"":false,""camera"":true,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-06-28 08:31:02,2026-06-28 08:31:48,DESKTOP-KBHB0SB
142,supplies,normal,completed,14.4551366,79.9941312,"{""transportMode"":""ROAD"",""needs"":[6,1,1,2],""peopleCount"":""1"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]
[Declined by Rescuer ID: 2]",Sarah Khan (MEM-02),2026-06-28 16:03:07,2026-06-28 16:04:07,DESKTOP-KBHB0SB
143,sos,normal,completed,14.4552825,79.9942689,"{""transportMode"":""BOAT"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]",Arjun Singh (MEM-01),2026-06-28 16:04:20,2026-06-28 16:04:48,DESKTOP-KBHB0SB
144,medical,critical,declined,14.4554556,79.9939218,"Critical Emergency Triggered
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]
[Declined by Admin]",Unassigned,2026-06-28 16:05:29,2026-06-28 16:54:19,DESKTOP-KBHB0SB
145,supplies,normal,completed,14.4553713,79.9942962,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]",Arjun Singh (MEM-01),2026-06-28 16:56:32,2026-06-28 16:56:56,DESKTOP-KBHB0SB
146,medical,critical,completed,14.4553653,79.9942929,"Critical Emergency Triggered
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]
[Declined by Rescuer ID: 1]",Arjun Singh (MEM-01),2026-06-28 16:57:38,2026-06-28 16:58:31,DESKTOP-KBHB0SB
147,supplies,normal,completed,14.4554556,79.9939218,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]",Arjun Singh (MEM-01),2026-06-28 17:39:44,2026-06-28 17:40:05,DESKTOP-KBHB0SB
148,sos,normal,completed,14.4553563,79.9943036,"{""transportMode"":""AIR"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-06-28 17:40:54,2026-06-28 17:54:17,DESKTOP-KBHB0SB
149,supplies,normal,completed,14.4553773,79.9943022,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Sarah Khan (MEM-02),2026-06-28 17:55:37,2026-06-28 17:56:16,DESKTOP-KBHB0SB
150,sos,normal,completed,14.4554556,79.9939218,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]",Arjun Singh (MEM-01),2026-06-28 17:56:44,2026-06-28 17:57:04,DESKTOP-KBHB0SB
151,supplies,normal,completed,14.4553637,79.994301,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Sarah Khan (MEM-02),2026-06-28 17:57:55,2026-06-28 17:58:43,DESKTOP-KBHB0SB
152,supplies,normal,completed,13.085,80.272,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-06-28 17:59:40,2026-06-28 18:00:24,DESKTOP-KBHB0SB
153,supplies,normal,completed,14.4554075,79.9942882,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]",Arjun Singh (MEM-01),2026-06-28 18:00:43,2026-06-28 18:01:06,DESKTOP-KBHB0SB
154,sos,normal,completed,14.4553563,79.9942966,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]",Arjun Singh (MEM-01),2026-06-28 18:01:47,2026-06-28 18:02:21,DESKTOP-KBHB0SB
155,supplies,normal,completed,14.4553561,79.9943037,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-06-28 18:02:51,2026-06-28 18:03:38,DESKTOP-KBHB0SB
156,supplies,normal,completed,14.4553562,79.9943032,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-06-28 18:15:27,2026-06-28 18:15:59,DESKTOP-KBHB0SB
157,supplies,normal,completed,14.4553562,79.9943033,"{""transportMode"":""BOAT"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]",Arjun Singh (MEM-01),2026-06-28 18:16:34,2026-06-28 18:17:04,DESKTOP-KBHB0SB
158,supplies,normal,completed,14.4553824,79.9942952,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Neha Sharma (MEM-04),2026-06-28 18:17:41,2026-06-28 18:18:17,DESKTOP-KBHB0SB
159,supplies,normal,completed,14.4553537,79.9942943,"{""transportMode"":""BOAT"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 3]",Arjun Singh (MEM-01),2026-06-28 18:18:44,2026-06-28 18:19:10,DESKTOP-KBHB0SB
160,sos,normal,completed,14.4556107,79.9942811,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Sarah Khan (MEM-02),2026-06-28 18:19:57,2026-06-28 18:21:56,DESKTOP-KBHB0SB
161,pregnancy,critical,completed,14.455355,79.9943014,"Critical Emergency Triggered
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-06-28 18:21:02,2026-06-28 18:21:40,DESKTOP-KBHB0SB
162,medical,critical,completed,14.455355,79.994293,"Critical Emergency Triggered
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-06-28 18:22:05,2026-06-28 18:22:42,DESKTOP-KBHB0SB
163,medical,critical,completed,14.4553651,79.9943004,"Critical Emergency Triggered
[Ignored by Rescuer ID: 3]
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Sarah Khan (MEM-02),2026-06-28 18:23:10,2026-06-28 18:23:46,DESKTOP-KBHB0SB


SECTION 2: RESCUER COMMAND DISPATCHES
Command ID,Assigned Group ID,Target Phone,Payload Details,Type,Status,Created At,Acknowledged At,Device Node
126,N/A,919000000001,"{""message"":""AI ASSIGNED: PREGNANCY at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":14.4551259,""lng"":79.9946208,""urgency"":""critical"",""rescue_req_id"":135,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 2]\n[Ignored by Rescuer ID: 3]"",""assigned_by"":""AI""}",Critical,completed,2026-06-28 05:16:49,,DESKTOP-KBHB0SB
127,N/A,919000000004,"{""message"":""AI ASSIGNED: SUPPLIES at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":14.4551259,""lng"":79.9946208,""urgency"":""normal"",""rescue_req_id"":136,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""{\""transportMode\"":\""BOAT\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 1]"",""assigned_by"":""AI""}",Normal,completed,2026-06-28 05:20:58,,DESKTOP-KBHB0SB
128,N/A,919000000001,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":14.4551259,""lng"":79.9946208,""urgency"":""normal"",""rescue_req_id"":137,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""{\""transportMode\"":\""ROAD\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 3]"",""assigned_by"":""AI""}",Normal,completed,2026-06-28 05:22:28,,DESKTOP-KBHB0SB
129,N/A,919000000001,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":14.4553532,""lng"":79.9942974,""urgency"":""normal"",""rescue_req_id"":138,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""{\""transportMode\"":\""BOAT\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}"",""assigned_by"":""AI""}",Normal,completed,2026-06-28 07:10:43,,DESKTOP-KBHB0SB
130,N/A,919000000001,"{""message"":""PREGNANCY RESCUE at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.085,""lng"":80.272,""urgency"":""critical"",""rescue_req_id"":139,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 3]\n[Ignored by Rescuer ID: 1]\n[AI_ROTATION_COMPLETED]\n[Declined by Rescuer ID: 2]""}",Critical,completed,2026-06-28 07:20:04,,DESKTOP-KBHB0SB
131,N/A,919000000002,"{""message"":""MEDICAL RESCUE at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":14.4554741,""lng"":79.9942801,""urgency"":""critical"",""rescue_req_id"":140,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 3]\n[Ignored by Rescuer ID: 2]\n[Ignored by Rescuer ID: 1]\n[AI_ROTATION_COMPLETED]""}",Critical,completed,2026-06-28 08:29:48,,DESKTOP-KBHB0SB
132,N/A,919000000001,"{""message"":""SOS TASK at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":14.4553542,""lng"":79.9942935,""urgency"":""normal"",""rescue_req_id"":141,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""{\""transportMode\"":\""ROAD\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""2\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":true,\""note\"":false}}\n[Ignored by Rescuer ID: 3]\n[Ignored by Rescuer ID: 2]\n[Ignored by Rescuer ID: 1]\n[AI_ROTATION_COMPLETED]""}",Normal,completed,2026-06-28 08:31:08,,DESKTOP-KBHB0SB
133,N/A,919000000002,"{""message"":""SUPPLIES RESCUE at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":14.4551366,""lng"":79.9941312,""urgency"":""normal"",""rescue_req_id"":142,""requester_name"":""Amit Kumar"",""requester_phone"":""918000000001"",""details"":""{\""transportMode\"":\""ROAD\"",\""needs\"":[6,1,1,2],\""peopleCount\"":\""1\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 2]\n[Ignored by Rescuer ID: 3]\n[Ignored by Rescuer ID: 1]\n[AI_ROTATION_COMPLETED]\n[Declined by Rescuer ID: 2]""}",Normal,completed,2026-06-28 16:03:14,,DESKTOP-KBHB0SB
