ARDMS SYSTEM BACKUP REPORT - DATE: 2026-07-04
Device Hostname: , DESKTOP-KBHB0SB
Device Info: , DESKTOP-KBHB0SB (User: Alienware, OS: Windows_NT x64)
Generated At: , 5/7/2026, 7:55:31 pm

SECTION 1: RESCUE REQUESTS & TASKS
Request ID,Type,Urgency,Status,Latitude,Longitude,Details/Location,Assigned Responder,Created At,Updated At,Device Node
169,sos,critical,completed,13.0723503,80.1805238,"Critical Emergency Triggered
[Ignored by Rescuer ID: 2]",Arjun Singh (MEM-01),2026-07-04 11:37:09,2026-07-04 11:37:40,DESKTOP-KBHB0SB
170,medical,critical,closed,13.085,80.272,"Critical Emergency Triggered
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Unassigned,2026-07-04 12:24:56,2026-07-04 12:25:36,DESKTOP-KBHB0SB
171,supplies,normal,completed,12.9943769,80.1956467,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 13]
[Declined by Rescuer ID: 2]
[Ignored by Rescuer ID: 1]",Ram (MEM-07),2026-07-04 14:12:42,2026-07-04 14:13:50,DESKTOP-KBHB0SB
172,sos,normal,completed,12.9943763,80.1956464,"{""transportMode"":""AIR"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]
[Ignored by Rescuer ID: 4]
[Ignored by Rescuer ID: 1]",Sarah Khan (MEM-02),2026-07-04 14:36:21,2026-07-04 14:37:10,DESKTOP-KBHB0SB
173,supplies,normal,completed,13.085,80.272,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 2]",Vikram Rao (MEM-03),2026-07-04 14:40:10,2026-07-04 14:40:48,DESKTOP-KBHB0SB
174,pregnancy,critical,completed,12.9943807,80.1956486,"Critical Emergency Triggered
[Ignored by Rescuer ID: 2]",Vikram Rao (MEM-03),2026-07-04 14:42:02,2026-07-04 14:42:44,DESKTOP-KBHB0SB
175,medical,critical,completed,12.9944135,80.1956589,"Critical Emergency Triggered
[Ignored by Rescuer ID: 2]",Vikram Rao (MEM-03),2026-07-04 14:43:08,2026-07-04 14:43:34,DESKTOP-KBHB0SB
176,pregnancy,critical,completed,12.9943803,80.1956506,"Critical Emergency Triggered
[Ignored by Rescuer ID: 2]
[Declined by Rescuer ID: 4]",Vikram Rao (MEM-03),2026-07-04 14:48:28,2026-07-04 14:49:11,DESKTOP-KBHB0SB


SECTION 2: RESCUER COMMAND DISPATCHES
Command ID,Assigned Group ID,Target Phone,Payload Details,Type,Status,Created At,Acknowledged At,Device Node
179,N/A,919000000002,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.0723503,""lng"":80.1805238,""urgency"":""critical"",""rescue_req_id"":169,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""Critical Emergency Triggered"",""assigned_by"":""AI"",""assignment_version"":1}",Critical,completed,2026-07-04 11:37:18,,DESKTOP-KBHB0SB
180,N/A,919000000001,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.0723503,""lng"":80.1805238,""urgency"":""critical"",""rescue_req_id"":169,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 2]"",""assigned_by"":""AI"",""assignment_version"":3}",Critical,completed,2026-07-04 11:37:32,,DESKTOP-KBHB0SB
181,N/A,919000000001,"{""message"":""SELF-ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.0723503,""lng"":80.1805238,""urgency"":""critical"",""rescue_req_id"":169,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 2]"",""assigned_by"":""Self""}",Critical,completed,2026-07-04 11:37:40,,DESKTOP-KBHB0SB
182,N/A,919000000002,"{""message"":""AI ASSIGNED: MEDICAL at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.085,""lng"":80.272,""urgency"":""critical"",""rescue_req_id"":170,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""Critical Emergency Triggered"",""assigned_by"":""AI"",""assignment_version"":1}",Critical,closed,2026-07-04 12:25:05,,DESKTOP-KBHB0SB
183,N/A,919000000001,"{""message"":""AI ASSIGNED: MEDICAL at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.085,""lng"":80.272,""urgency"":""critical"",""rescue_req_id"":170,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 2]"",""assigned_by"":""AI"",""assignment_version"":3}",Critical,closed,2026-07-04 12:25:19,,DESKTOP-KBHB0SB
184,N/A,919000000007,"{""message"":""SUPPLIES RESCUE at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943769,""lng"":80.1956467,""urgency"":""normal"",""rescue_req_id"":171,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""{\""transportMode\"":\""ROAD\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 13]\n[Declined by Rescuer ID: 2]\n[Ignored by Rescuer ID: 1]""}",Normal,completed,2026-07-04 14:12:55,,DESKTOP-KBHB0SB
185,N/A,919000000002,"{""message"":""AI ASSIGNED: SUPPLIES at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943769,""lng"":80.1956467,""urgency"":""normal"",""rescue_req_id"":171,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""{\""transportMode\"":\""ROAD\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 13]"",""assigned_by"":""AI"",""assignment_version"":3}",Normal,completed,2026-07-04 14:13:09,,DESKTOP-KBHB0SB
186,N/A,919000000001,"{""message"":""AI ASSIGNED: SUPPLIES at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943769,""lng"":80.1956467,""urgency"":""normal"",""rescue_req_id"":171,""requester_name"":""Sneha Reddy"",""requester_phone"":""918000000002"",""details"":""{\""transportMode\"":\""ROAD\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 13]\n[Declined by Rescuer ID: 2]"",""assigned_by"":""AI"",""assignment_version"":4}",Normal,completed,2026-07-04 14:13:23,,DESKTOP-KBHB0SB
